#option_type,maturity,strike,option_price
1,0.0136986301369863,310,39.93
1,0.0136986301369863,315,34.9
1,0.0136986301369863,320,25
1,0.0136986301369863,322.5,23.4
1,0.0136986301369863,325,23.2
1,0.0136986301369863,327.5,24.1
1,0.0136986301369863,330,16.98
1,0.0136986301369863,332.5,20.5
1,0.0136986301369863,335,13.43
1,0.0136986301369863,340,6.46
1,0.0136986301369863,345,3.43
1,0.0136986301369863,350,1.58
1,0.0136986301369863,352.5,1.05
1,0.0136986301369863,355,0.73
1,0.0136986301369863,357.5,0.34
1,0.0136986301369863,360,0.2
1,0.0136986301369863,362.5,0.28
1,0.0136986301369863,365,0.13
1,0.0136986301369863,370,0.03
1,0.0136986301369863,375,0.03
