#option_type,maturity,strike,option_price
1,0.03561643835616438,320,18.9
1,0.03561643835616438,322.5,28.3
1,0.03561643835616438,325,21.76
1,0.03561643835616438,327.5,9.3
1,0.03561643835616438,330,20.2
1,0.03561643835616438,332.5,17.4
1,0.03561643835616438,335,14.2
1,0.03561643835616438,337.5,12.88
1,0.03561643835616438,340,8.9
1,0.03561643835616438,342.5,7.3
1,0.03561643835616438,345,7.2
1,0.03561643835616438,347.5,4.5
1,0.03561643835616438,350,3.43
1,0.03561643835616438,352.5,2.72
1,0.03561643835616438,355,1.9
1,0.03561643835616438,357.5,1.91
1,0.03561643835616438,360,1.41
1,0.03561643835616438,362.5,0.98
1,0.03561643835616438,365,0.75
1,0.03561643835616438,370,0.28
