Date,Close,15 day,30 day
4/12/2018,217.809998,,
4/13/2018,220.880005,,
4/16/2018,227.929993,,
4/17/2018,233.589996,,
4/18/2018,233.039993,,
4/19/2018,234.160004,,
4/20/2018,235.050003,,
4/23/2018,238.649994,,
4/24/2018,233.940002,,
4/25/2018,236.199997,,
4/26/2018,243.610001,,
4/27/2018,248.809998,,
4/30/2018,250.910004,,
5/1/2018,250.619995,,
5/2/2018,248.419998,236.9079987,
5/3/2018,246.869995,238.8453319,
5/4/2018,253.740005,241.0359985,
5/7/2018,253.070007,242.7119995,
5/8/2018,249.229996,243.7546661,
5/9/2018,248.899994,244.8119995,
5/10/2018,247.5,245.7013326,
5/11/2018,250,246.6979991,
5/14/2018,247.039993,247.2573323,
5/15/2018,250.389999,248.3539988,
5/16/2018,252.020004,249.4086659,
5/17/2018,257.600006,250.3413329,
5/18/2018,255.589996,250.7933328,
5/21/2018,254.770004,251.0506661,
5/22/2018,252.690002,251.1886666,
5/23/2018,252.970001,251.4920001,244.1999994
5/24/2018,251.720001,251.8153339,245.3303329
5/25/2018,251.050003,251.6360004,246.3359995
5/29/2018,253.690002,251.6773334,247.1946664
5/30/2018,253.479996,251.9606667,247.8576664
5/31/2018,246.910004,251.8280007,248.3200001
6/1/2018,245.149994,251.6713337,248.6863331
6/4/2018,256.600006,252.1113341,249.4046666
6/5/2018,253.929993,252.5706674,249.9139999
6/6/2018,255.850006,252.9346679,250.6443333
6/7/2018,256.920013,253.2613351,251.3350005
6/8/2018,253.059998,252.9586679,251.6500004
6/11/2018,251.839996,252.7086679,251.7510004
6/12/2018,248.289993,252.2766672,251.6636667
6/13/2018,247.520004,251.9320007,251.5603336
6/14/2018,246.600006,251.5073343,251.4996672
6/15/2018,247.880005,251.2513346,251.5333342
6/18/2018,247.259995,250.9986674,251.3173339
6/19/2018,246.259995,250.5033336,251.0903335
6/20/2018,251.279999,250.3566671,251.1586669
6/21/2018,250.350006,250.5860006,251.2070007
6/22/2018,249.759995,250.893334,251.2823338
6/25/2018,241.610001,249.8940003,251.0026672
6/26/2018,238.75,248.8820008,250.7263341
6/27/2018,236.050003,247.5620006,250.2483342
6/28/2018,239.669998,246.4119996,249.8366674
6/29/2018,233.460007,245.1053335,249.0320007
7/2/2018,232.539993,243.8186667,248.2636673
7/3/2018,235.279999,242.9513337,247.6140005
7/5/2018,237.860001,242.3073335,247.1196671
7/6/2018,242.610001,242.0413332,246.7743338
7/9/2018,250.699997,242.2293327,246.7403336
7/10/2018,254.610001,242.7193331,246.8590002
7/11/2018,252.199997,243.1153332,246.8093334
7/12/2018,252.869995,243.2213329,246.789
7/13/2018,259.869995,243.8559989,247.2209997
7/16/2018,255.5,244.2386659,247.5659999
7/17/2018,253.080002,245.0033326,247.4486665
7/18/2018,250.639999,245.7959992,247.339
7/19/2018,257.410004,247.2199993,247.3909999
7/20/2018,254.520004,248.2099997,247.3109996
7/23/2018,255.050003,249.6493327,247.3773331
7/24/2018,249.240005,250.7626669,247.2906668
7/25/2018,253.389999,251.9700002,247.460667
7/26/2018,251.880005,252.9046671,247.6060003
7/27/2018,249.990005,253.3966674,247.7190003
7/30/2018,243.539993,252.9193338,247.5743332
7/31/2018,244.389999,252.2380003,247.4786667
8/1/2018,238,251.2913339,247.2033335
8/2/2018,234.809998,250.0873341,246.6543335
